ISBN,Title,Author,Publisher,Department,Sell_Price,Stock_OnHand,WEBLIST_Status,Would_Sync_To_Shopify
9781839947346,Listen to the Birds,,NOSCRO,,24.99,0,active,YES
9781839947353,Listen to the Farm,,NOSCRO,,24.99,0,active,YES
9781805130543,Listen to the Four Seasons by Vivaldi,,NOSCRO,,26.99,0,active,YES
9780316449960,Literary Book Of Answers,BOLT CAROL,HACHET,,17.99,0,active,YES
9781800691926,Little Book of Shakespeare - Timeless Wit and Wisdom,ORANGE HIPPO,ORAHIP,,16.99,0,active,YES
9781853261824,Little Dorrit - Wordsworth Classics,DICKENS CHARLES,WORDSW,,13.99,0,active,YES
9781869665463,Lonely Islands,THOMSEN TERRY,NEWHOL,,45.0,0,active,YES
9781869467111,Macbeth - Essential Shakespeare Series,ROXBOROUGH TANIA - ED,NEWHOU,,19.0,0,active,YES
9781922585400,Magic Counting - Explore the world of numbers through the shapes and patterns around us,KHAN NABEEL,SCRIBE,,30.0,0,active,YES
9781529091731,Maiden,FOSTER KATE,MANTLE,,37.99,0,active,YES
9781529091748,Maiden,FOSTER KATE,PAN,,24.99,0,active,YES
9781869538675,Maori Art - History Architecture Landscape And Theory,PANOHO RANGIHIROA,BATEMA,,99.99,0,active,YES
9781853262050,Martin Chuzzlewit - Wordsworth Classics,DICKENS CHARLES,WORDSW,,13.99,0,active,YES
9780733651076,Memorial Days,BROOKS GERALDINE,HACAUS,,37.99,0,active,YES
9781761150050,Men Without Country - The True Story Of Exploration And Rebellion In The South Seas,CHRISTIAN HARRISON,ULTIM,,39.99,0,active,YES
9781761150456,Men Without Country - The True Story Of Exploration And Rebellion In The South Seas,CHRISTIAN HARRISON,HARGRA,,24.99,0,active,YES
9783961714308,Modern Glam - Glamorous Home Inspiration,TENEUES VERLAG,TENEUE,,59.99,0,active,YES
9783959295581,Modigliani - 2026 Wall Calendar,TUSHITA FINE ARTS,TUSHIT,,19.99,0,active,YES
9781804545621,Monk - 5 DS Cross,SULLIVAN TIM,HEADOF,,24.99,0,active,YES
9781776563104,Monsters In The Garden - An Anthology Of Aotearoa New Zealand Science Fiction And Fantasy,LARSEN DAVID (ED) / KNOX ELIZABETH (ED),VUP,,35.0,0,active,YES
9780473220969,More Than Water - The Story Of Lake Hood,BROWN NATHALIE,WATERS,,50.0,0,active,YES
9781035052066,Mourning Necklace,FOSTER KATE,MANTLE,,37.99,0,active,YES
9780947493387,Mulgan - A Novella About The Author Of Man Alone,SHEPHERD NOEL,STEELE,,25.0,0,active,YES
9780008561246,Murray The Viking - 1 Murray And Bun,STOWER ADAM,HARPCO,,17.99,0,active,YES
9781641780773,My Gardening Journal,EDITORS OF QUIET FOX DESIGNS,QUIETF,,27.99,0,active,YES
9781728205472,My Life With The Walter Boys,NOVAK ALI,SOURCE,,24.0,0,active,YES
9781839404795,Mysterious Affair At Styles,CHRISTIE AGATHA,ARC,,19.99,0,active,YES
9780241587331,Nero - 1 Nero Trilogy,IGGULDEN CONN,MICHJO,,38.0,0,active,YES
9780316436670,New Yorker Encyclopedia of Cartoons,MANKOFF ROBERT,LITBRO,,165.0,0,active,YES
9780987655417,New Zealand,MATTHEWS GRAEME,GRAMA,,20.0,0,active,YES
