isbn,title,bookscan_maincat,bookscan_subcat,bic_code,bic_tag,assessment,tags_to_add
9781399713641,Crash,Fiction,Historical Fiction,FFH,Crime Fiction,ADD_SECONDARY,Crime Fiction
9780733646706,Legend of Albert Jacka -  From the brutal shores of Gallipoli to the battlefields of France,History And Politics,History,BGH,Biography,ADD_SECONDARY,Biography
9781405941655,Question of Guilt - 4 Cold Case Quartet,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781405941617,Cabin - 2 Cold Case Quartet,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781405950206,Night Man - 7 William Wisting,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9780241711422,Paris Affair,Fiction,Historical Fiction,FRH,Romance,ADD_SECONDARY,Romance
9783791389578,Women Photographers - From Anna Atkins to Newsha Tavakolian,The Arts,Art,AJB,Photography,ADD_SECONDARY,Photography
9783967040555,Soft Minimal - Norm Architects - A Sensory Approach to Architecture and Design,The Arts,Art,AMB,Architecture,ADD_SECONDARY,Architecture
9783791393070,75 Architects for a Sustainable World,The Arts,Art,AMCR,Architecture,ADD_SECONDARY,Architecture
9781035062256,Iron Hope - Lessons Learned from Conquering the Impossible,Sport,General Sport And Fitness,BGSA,Biography,ADD_SECONDARY,Biography
9781804090886,"Unicorns Hype and Bubbles - A guide to spotting, avoiding, and exploiting investment bubbles in tech",Sciences,Business,KFFM,Economics,ADD_SECONDARY,Economics
9781035057337,Going to the Wars,History And Politics,History,BGBA,Biography,ADD_SECONDARY,Biography
9781471197499,Manual for Being Human,Well Being,Health,VS,Psychology,ADD_SECONDARY,Psychology
9781398512269,Return to Blood - 2 Hana Westerman,Fiction,General Fiction,FF,Crime Fiction,RECLASSIFY,Crime Fiction
9781838669256,DogDogs,The Arts,Art,AJC,Photography,ADD_SECONDARY,Photography
9781838668723,Frank Lloyd Wright,The Arts,Art,AM,Architecture,ADD_SECONDARY,Architecture
9780241598979,Nemesis - 10 Orphan X,Fiction,Crime Fiction,FHD,Thriller,ADD_SECONDARY,Thriller
9781405945424,My Favourite Mistake,Fiction,General Fiction,FRD,Romance,RECLASSIFY,Romance
9781405936729,Arctic Sun - 3 Tom Fox,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781405950350,Girl on the Ice,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781922790897,Perfection,Fiction,General Fiction,FYT,Translated Fiction,RECLASSIFY,Translated Fiction
9781787304499,Perspectives,Fiction,Historical Fiction,FFH,Crime Fiction,ADD_SECONDARY,Crime Fiction
9781911717492,World After Gaza,History And Politics,History,JPSL,Politics,ADD_SECONDARY,Politics
9781804949399,Churchill - A Life - The Official Biography,History And Politics,History,BGH,Biography,ADD_SECONDARY,Biography
9781668019504,I Dream Of Joni - A Portrait Of Joni Mitchell In 53 Snapshots,The Arts,Music And Performing Arts,BGF,Biography,ADD_SECONDARY,Biography
9781804187623,Disappearance,Fiction,Crime Fiction,FHP,Thriller,ADD_SECONDARY,Thriller
9781805333142,Unworthy,Fiction,Science Fiction and Fantasy,FK,Horror,ADD_SECONDARY,Horror
9780241740811,Nazi Mind - Twelve Warnings From History,History And Politics,History,JPFQ,Politics,ADD_SECONDARY,Politics
9781805460152,Killing Sense,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9780760394960,Rihanna Is Life - A Superfans Guide To All Things We Love About Rihanna,The Arts,Music And Performing Arts,BGF,Biography,ADD_SECONDARY,Biography
9780760392089,How To Eat Well For Adults With ADHD - Practical Non-Diet Guide To Feeding Your Body And Mind When You Have ADHD,Well Being,Health,VFJB,Psychology,ADD_SECONDARY,Psychology
